epoch,total,recon,phys,lambda_phys,recon_weight,GradNorm,pred_Mean_K,pred_Mean_dP/dy,pred_FlowRate,pred_Porosity,pred_Anisotropy
1,0.12411072850227356,0.14917729794979095,0.03444574028253555,3.17,0.1,0.619462350539493,0.08526822179555893,-0.01866122893989086,-0.018859846517443657,0.05066432058811188,0.857286810874939
2,0.12806889414787292,0.14918719232082367,0.03387729823589325,3.34,0.1,0.24373984783915148,0.08532842248678207,-0.018753185868263245,-0.018901485949754715,0.053967300802469254,0.8584995865821838
3,0.13331250846385956,0.1491888165473938,0.03373037651181221,3.51,0.1,0.43057629125891594,0.08579941838979721,-0.018781717866659164,-0.018915455788373947,0.05438541620969772,0.8596762418746948
4,0.13821354508399963,0.14919337630271912,0.03350386023521423,3.68,0.1,0.19575811137292476,0.08634793013334274,-0.01876973733305931,-0.018867742270231247,0.05489225685596466,0.8619630336761475
5,0.1431804597377777,0.14919473230838776,0.0333145409822464,3.85,0.1,0.24091529089423602,0.08683361858129501,-0.01870908960700035,-0.018773861229419708,0.05527946725487709,0.8639712929725647
6,0.147574320435524,0.14918813109397888,0.03299888223409653,4.02,0.1,1.4020016019886725,0.08771795779466629,-0.018599124625325203,-0.018553536385297775,0.05569680407643318,0.8679554462432861
7,0.1516457349061966,0.14920306205749512,0.032631367444992065,4.19,0.1,0.4174021315683092,0.08842923492193222,-0.018290406093001366,-0.018288584426045418,0.056640028953552246,0.871645987033844
8,0.15516580641269684,0.14920969307422638,0.0321662463247776,4.36,0.1,0.5572343318477238,0.08858861029148102,-0.018037870526313782,-0.01814965158700943,0.058825455605983734,0.8741753101348877
9,0.1588752120733261,0.14921604096889496,0.03177783638238907,4.53,0.1,0.5404640044349662,0.08859264850616455,-0.01770605891942978,-0.017857519909739494,0.06067115068435669,0.8763362169265747
10,0.16344387829303741,0.14921706914901733,0.0316004641354084,4.7,0.1,0.43025313957417666,0.08889757841825485,-0.017660101875662804,-0.017822928726673126,0.061368394643068314,0.8775957822799683
11,0.1675075888633728,0.14922070503234863,0.031331729143857956,4.87,0.1,0.671559043679963,0.08896215260028839,-0.017768561840057373,-0.01789463311433792,0.06305472552776337,0.8780149221420288
