epoch,total,recon,phys,lambda_phys,Mean_K,Mean_dP_dy,FlowRate,Porosity,Anisotropy,Var_K,Var_dP_dy,Var_FlowRate,Var_Porosity,Var_Anisotropy,GradNorm
1,25149.873046875,0.12710630893707275,37880.71484375,0.6639194975899705,0.9418554306030273,0.0001279944262932986,-0.01102728582918644,-0.03340911120176315,0.91568523645401,3.9084296910019134e-10,8.908403528740116e-13,4.911397677442864e-12,9.54570589239978e-11,4.923833007985934e-10,0.0015805280001353285
2,31190.11328125,0.12710967659950256,37922.56640625,0.8224650748419111,0.942330002784729,0.00020586044411174953,-0.011055056005716324,-0.0333222933113575,0.9161784648895264,7.453073158636414e-10,2.9113635113819925e-11,6.71391273739802e-13,7.005485167660419e-12,9.265286871062983e-10,0.000905752282251466
3,36996.67578125,0.12710672616958618,37913.56640625,0.9758129098202024,0.9422081112861633,0.000183485186425969,-0.011070535518229008,-0.03345014899969101,0.9159994125366211,1.1956095669063416e-08,1.853799752593588e-11,1.3252177133438181e-11,5.962134258519214e-11,1.5153572618942235e-08,0.0038624765777317267
4,42485.70703125,0.12710529565811157,37794.07421875,1.1241334047852627,0.9408017992973328,0.0001473428274039179,-0.011121910996735096,-0.03375498205423355,0.9142820835113525,3.5200602432894357e-09,1.2271137881866845e-12,4.7940497058251985e-12,1.1459598825425132e-09,6.598974255922485e-09,0.0006573401207255881
5,47878.55859375,0.12709695100784302,37771.1875,1.2675913755469295,0.9405191540718079,0.00011197919229744002,-0.01113355066627264,-0.03393473103642464,0.9139678478240967,4.407229248215572e-09,2.034211341039871e-12,1.9582240343152257e-11,1.8664203516038924e-09,7.766932874631038e-09,0.0013830373115158172
6,53164.421875,0.127100870013237,37803.1328125,1.406346234610091,0.9409151077270508,0.00013020036567468196,-0.011110681109130383,-0.033692311495542526,0.9144271612167358,2.119388220478413e-09,6.6827884372122615e-12,1.702098705036459e-11,1.1173251213136837e-09,4.5942694093525915e-09,0.006272344594668069
7,58212.96484375,0.12709501385688782,37786.99609375,1.5405521683160917,0.9407299757003784,0.00010852108243852854,-0.011111792176961899,-0.03373236581683159,0.9142716526985168,3.4294467265993944e-09,6.203241913194102e-12,1.368842886262378e-11,2.2744066630053794e-09,6.383818362820648e-09,0.0006619414649968441
8,63154.6015625,0.12709392607212067,37808.9375,1.6703583081767566,0.9410120844841003,0.00011663303303066641,-0.011083819903433323,-0.033520717173814774,0.9146424531936646,8.253390748613754e-10,4.940667232972151e-12,6.496825646906679e-12,4.273038312074817e-10,1.7878605262922065e-09,0.0006025574130093914
9,67953.875,0.1270940601825714,37838.08203125,1.7959088965914107,0.9413793087005615,0.00013349883374758065,-0.011052126996219158,-0.033268701285123825,0.9150770306587219,1.399737437068893e-09,3.678462157270801e-13,1.449038198458874e-11,2.1398659233451411e-10,1.1161884749810724e-09,0.001003463496420595
10,72544.421875,0.12709300220012665,37835.8359375,1.9173434471310538,0.9413512349128723,0.00013840864994563162,-0.011059603653848171,-0.03328065946698189,0.9150548577308655,8.621174329981329e-10,7.929385230018293e-13,1.0472144852669008e-11,1.1810102895637442e-10,6.467666402443228e-10,0.0009306750428377603
11,76963.53125,0.12709209322929382,37823.62890625,2.0347968995677923,0.9411920309066772,0.0001386162912240252,-0.011077819392085075,-0.033423952758312225,0.9148662090301514,1.7820302525284326e-11,4.472651090638158e-13,9.017629308202824e-14,3.1339988937340024e-10,1.4461934427778544e-10,0.0008473938843189591
